CollectorV(1),Ic01 (Ib = 1 uA),Ic02 (Ib = 2 uA),Ic03 (Ib = 3 uA),Ic04 (Ib = 4 uA),Ic05 (Ib = 5 uA),Ic06 (Ib = 6 uA),Ic07 (Ib = 7 uA),Ic08 (Ib = 8 uA),Ic09 (Ib = 9 uA),Ic10 (Ib = 10 uA),,,,,,,,,,,,,,,,,,,,
3.1500E+0,103.0301E-6,214.7743E-6,328.6812E-6,443.4020E-6,558.3749E-6,673.5513E-6,788.5116E-6,903.3997E-6,1.0175E-3,1.1312E-3,,,,,,,,,,,,,,,,,,,,
3.2000E+0,103.0842E-6,214.8966E-6,328.8464E-6,443.6312E-6,558.6586E-6,673.8779E-6,788.9064E-6,903.8333E-6,1.0180E-3,1.1318E-3,,,,,,,,,,,,,,,,,,,,
3.2500E+0,103.1404E-6,215.0092E-6,329.0146E-6,443.8549E-6,558.9433E-6,674.2135E-6,789.3010E-6,904.2512E-6,1.0185E-3,1.1324E-3,,,,,,,,,,,,,,,,,,,,
3.3000E+0,103.1861E-6,215.1075E-6,329.1454E-6,444.0710E-6,559.2315E-6,674.5739E-6,789.7033E-6,904.6984E-6,1.0190E-3,1.1330E-3,,,,,,,,,,,,,,,,,,,,
3.3500E+0,103.2313E-6,215.2549E-6,329.3346E-6,444.2658E-6,559.5021E-6,674.8899E-6,790.0521E-6,905.1185E-6,1.0195E-3,1.1336E-3,,,,,,,,,,,,,,,,,,,,
3.4000E+0,103.2771E-6,215.3443E-6,329.4929E-6,444.4908E-6,559.7787E-6,675.1973E-6,790.4605E-6,905.5955E-6,1.0200E-3,1.1341E-3,,,,,,,,,,,,,,,,,,,,
3.4500E+0,103.3374E-6,215.4511E-6,329.6512E-6,444.6950E-6,560.0558E-6,675.5633E-6,790.8336E-6,906.0306E-6,1.0206E-3,1.1347E-3,,,,,,,,,,,,,,,,,,,,
3.5000E+0,103.3826E-6,215.5435E-6,329.8182E-6,444.9165E-6,560.3385E-6,675.8768E-6,791.2248E-6,906.4662E-6,1.0210E-3,1.1352E-3,,,,,,,,,,,,,,,,,,,,
3.5500E+0,103.4361E-6,215.6311E-6,329.9744E-6,445.1393E-6,560.6046E-6,676.1928E-6,791.6104E-6,906.9362E-6,1.0215E-3,1.1358E-3,,,,,,,,,,,,,,,,,,,,
3.6000E+0,103.4885E-6,215.7284E-6,330.1152E-6,445.3485E-6,560.8362E-6,676.4729E-6,792.0046E-6,907.3425E-6,1.0220E-3,1.1363E-3,,,,,,,,,,,,,,,,,,,,
3.6500E+0,103.5384E-6,215.8346E-6,330.2737E-6,445.5608E-6,561.0901E-6,676.8404E-6,792.3443E-6,907.7847E-6,1.0225E-3,1.1369E-3,,,,,,,,,,,,,,,,,,,,
3.7000E+0,103.5988E-6,215.9204E-6,330.4329E-6,445.7413E-6,561.3400E-6,677.1650E-6,792.7225E-6,908.2142E-6,1.0230E-3,1.1374E-3,,,,,,,,,,,,,,,,,,,,
3.7500E+0,103.6301E-6,216.0254E-6,330.6040E-6,445.9450E-6,561.6216E-6,677.4860E-6,793.0945E-6,908.6170E-6,1.0235E-3,1.1379E-3,,,,,,,,,,,,,,,,,,,,
3.8000E+0,103.6891E-6,216.1319E-6,330.7642E-6,446.1683E-6,561.9003E-6,677.7970E-6,793.4684E-6,909.0254E-6,1.0240E-3,1.1385E-3,,,,,,,,,,,,,,,,,,,,
3.8500E+0,103.7311E-6,216.2396E-6,330.9038E-6,446.3954E-6,562.1396E-6,678.0978E-6,793.8647E-6,909.5559E-6,1.0244E-3,1.1390E-3,,,,,,,,,,,,,,,,,,,,
3.9000E+0,103.7810E-6,216.3356E-6,331.0426E-6,446.6094E-6,562.3955E-6,678.4456E-6,794.1923E-6,909.9335E-6,1.0249E-3,1.1395E-3,,,,,,,,,,,,,,,,,,,,
3.9500E+0,103.8279E-6,216.4296E-6,331.1990E-6,446.7854E-6,562.6357E-6,678.7757E-6,794.5507E-6,910.3882E-6,1.0254E-3,1.1400E-3,,,,,,,,,,,,,,,,,,,,
4.0000E+0,103.8926E-6,216.5479E-6,331.3586E-6,446.9671E-6,562.9068E-6,679.0856E-6,794.8960E-6,910.8310E-6,1.0259E-3,1.1406E-3,,,,,,,,,,,,,,,,,,,,
4.0500E+0,103.9386E-6,216.6488E-6,331.4930E-6,447.1697E-6,563.1759E-6,679.3819E-6,795.2811E-6,911.1828E-6,1.0264E-3,1.1411E-3,,,,,,,,,,,,,,,,,,,,
4.1000E+0,103.9833E-6,216.7611E-6,331.6823E-6,447.3926E-6,563.4303E-6,679.6943E-6,795.6496E-6,911.6164E-6,1.0268E-3,1.1417E-3,,,,,,,,,,,,,,,,,,,,
4.1500E+0,104.0268E-6,216.8501E-6,331.8368E-6,447.5903E-6,563.6821E-6,679.9937E-6,796.0095E-6,912.0353E-6,1.0273E-3,1.1422E-3,,,,,,,,,,,,,,,,,,,,
4.2000E+0,104.0803E-6,216.9436E-6,332.0000E-6,447.7849E-6,563.9275E-6,680.2940E-6,796.3613E-6,912.4149E-6,1.0278E-3,1.1427E-3,,,,,,,,,,,,,,,,,,,,
4.2500E+0,104.1263E-6,217.0467E-6,332.1327E-6,447.9997E-6,564.1990E-6,680.6146E-6,796.7465E-6,912.8440E-6,1.0283E-3,1.1433E-3,,,,,,,,,,,,,,,,,,,,
4.3000E+0,104.1798E-6,217.1445E-6,332.2730E-6,448.2053E-6,564.4453E-6,680.9457E-6,797.0977E-6,913.2730E-6,1.0287E-3,1.1438E-3,,,,,,,,,,,,,,,,,,,,
4.3500E+0,104.2198E-6,217.2362E-6,332.4056E-6,448.4094E-6,564.7073E-6,681.2178E-6,797.4586E-6,913.6915E-6,1.0292E-3,1.1443E-3,,,,,,,,,,,,,,,,,,,,
4.4000E+0,104.2553E-6,217.3367E-6,332.5387E-6,448.6010E-6,564.9633E-6,681.4919E-6,797.8393E-6,914.0943E-6,1.0297E-3,1.1448E-3,,,,,,,,,,,,,,,,,,,,
4.4500E+0,104.3140E-6,217.4127E-6,332.7099E-6,448.8194E-6,565.1909E-6,681.8094E-6,798.1714E-6,914.5143E-6,1.0301E-3,1.1453E-3,,,,,,,,,,,,,,,,,,,,
4.5000E+0,104.3597E-6,217.5167E-6,332.8475E-6,449.0112E-6,565.4417E-6,682.1082E-6,798.5117E-6,914.9353E-6,1.0306E-3,1.1459E-3,,,,,,,,,,,,,,,,,,,,
4.5500E+0,104.4058E-6,217.6055E-6,332.9902E-6,449.2069E-6,565.6906E-6,682.3873E-6,798.8952E-6,915.2830E-6,1.0311E-3,1.1463E-3,,,,,,,,,,,,,,,,,,,,
4.6000E+0,104.4612E-6,217.7058E-6,333.1278E-6,449.4067E-6,565.9087E-6,682.7199E-6,799.1739E-6,915.6687E-6,1.0315E-3,1.1468E-3,,,,,,,,,,,,,,,,,,,,
4.6500E+0,104.5050E-6,217.8032E-6,333.2769E-6,449.5723E-6,566.2166E-6,683.0122E-6,799.5645E-6,916.0482E-6,1.0319E-3,1.1473E-3,,,,,,,,,,,,,,,,,,,,
4.7000E+0,104.5375E-6,217.9073E-6,333.4183E-6,449.7808E-6,566.4650E-6,683.3090E-6,799.9094E-6,916.4743E-6,1.0324E-3,1.1478E-3,,,,,,,,,,,,,,,,,,,,
4.7500E+0,104.5742E-6,217.9936E-6,333.5656E-6,449.9637E-6,566.6800E-6,683.5983E-6,800.2526E-6,916.8620E-6,1.0328E-3,1.1483E-3,,,,,,,,,,,,,,,,,,,,
4.8000E+0,104.6322E-6,218.1014E-6,333.7201E-6,450.1847E-6,566.9293E-6,683.8663E-6,800.6226E-6,917.2689E-6,1.0333E-3,1.1488E-3,,,,,,,,,,,,,,,,,,,,
4.8500E+0,104.6780E-6,218.1891E-6,333.8685E-6,450.3722E-6,567.1494E-6,684.1702E-6,800.9992E-6,917.6969E-6,1.0337E-3,1.1494E-3,,,,,,,,,,,,,,,,,,,,
4.9000E+0,104.7181E-6,218.2885E-6,334.0091E-6,450.5454E-6,567.4139E-6,684.4922E-6,801.3227E-6,918.0850E-6,1.0342E-3,1.1498E-3,,,,,,,,,,,,,,,,,,,,
4.9500E+0,104.7603E-6,218.3834E-6,334.1510E-6,450.7467E-6,567.6532E-6,684.7648E-6,801.7261E-6,918.4843E-6,1.0346E-3,1.1504E-3,,,,,,,,,,,,,,,,,,,,
5.0000E+0,104.7987E-6,218.4523E-6,334.2780E-6,450.9552E-6,567.8819E-6,685.0939E-6,802.0531E-6,918.8639E-6,1.0351E-3,1.1509E-3,,,,,,,,,,,,,,,,,,,,
