
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
3.0199517204020356E+002, 3.0199517204020356E+002, 0.0000000000000000E+000, 6.7653579327044899E-001, 0.0000000000000000E+000
3.0549211132155330E+002, 3.0549211132155330E+002, 0.0000000000000000E+000, 7.7525481354181314E-001, 0.0000000000000000E+000
3.0902954325136108E+002, 3.0902954325136108E+002, 0.0000000000000000E+000, 8.7383135907173815E-001, 0.0000000000000000E+000
3.1260793671239759E+002, 3.1260793671239759E+002, 0.0000000000000000E+000, 9.7226481572501522E-001, 0.0000000000000000E+000
3.1622776601684006E+002, 3.1622776601684006E+002, 0.0000000000000000E+000, 1.0705545083146490E+000, 0.0000000000000000E+000
3.1988951096914195E+002, 3.1988951096914195E+002, 0.0000000000000000E+000, 1.1686997005943909E+000, 0.0000000000000000E+000
3.2359365692963047E+002, 3.2359365692963047E+002, 0.0000000000000000E+000, 1.2666995951418252E+000, 0.0000000000000000E+000
3.2734069487884045E+002, 3.2734069487884045E+002, 0.0000000000000000E+000, 1.3645533332804400E+000, 0.0000000000000000E+000
3.3113112148259341E+002, 3.3113112148259341E+002, 0.0000000000000000E+000, 1.4622599949442039E+000, 0.0000000000000000E+000
3.3496543915783002E+002, 3.3496543915783002E+002, 0.0000000000000000E+000, 1.5598185986386333E+000, 0.0000000000000000E+000
3.3884415613920498E+002, 3.3884415613920498E+002, 0.0000000000000000E+000, 1.6572281012911072E+000, 0.0000000000000000E+000
3.4276778654645284E+002, 3.4276778654645284E+002, 0.0000000000000000E+000, 1.7544873981240672E+000, 0.0000000000000000E+000
3.4673685045253416E+002, 3.4673685045253416E+002, 0.0000000000000000E+000, 1.8515953226262849E+000, 0.0000000000000000E+000
3.5075187395257058E+002, 3.5075187395257058E+002, 0.0000000000000000E+000, 1.9485506463263738E+000, 0.0000000000000000E+000
3.5481338923357811E+002, 3.5481338923357811E+002, 0.0000000000000000E+000, 2.0453520787602262E+000, 0.0000000000000000E+000
3.5892193464500792E+002, 3.5892193464500792E+002, 0.0000000000000000E+000, 2.1419982673031739E+000, 0.0000000000000000E+000
3.6307805477010413E+002, 3.6307805477010413E+002, 0.0000000000000000E+000, 2.2384877970869406E+000, 0.0000000000000000E+000
3.6728230049808752E+002, 3.6728230049808752E+002, 0.0000000000000000E+000, 2.3348191908215794E+000, 0.0000000000000000E+000
3.7153522909717543E+002, 3.7153522909717543E+002, 0.0000000000000000E+000, 2.4309909087696790E+000, 0.0000000000000000E+000
3.7583740428844715E+002, 3.7583740428844715E+002, 0.0000000000000000E+000, 2.5270013485470741E+000, 0.0000000000000000E+000
3.8018939632056424E+002, 3.8018939632056424E+002, 0.0000000000000000E+000, 2.6228488450181002E+000, 0.0000000000000000E+000
3.8459178204535669E+002, 3.8459178204535669E+002, 0.0000000000000000E+000, 2.7185316702209255E+000, 0.0000000000000000E+000
3.8904514499428382E+002, 3.8904514499428382E+002, 0.0000000000000000E+000, 2.8140480332305069E+000, 0.0000000000000000E+000
3.9355007545578076E+002, 3.9355007545578076E+002, 0.0000000000000000E+000, 2.9093960800666445E+000, 0.0000000000000000E+000
3.9810717055350062E+002, 3.9810717055350062E+002, 0.0000000000000000E+000, 3.0045738935839466E+000, 0.0000000000000000E+000
4.0271703432546252E+002, 4.0271703432546252E+002, 0.0000000000000000E+000, 3.0995794933765208E+000, 0.0000000000000000E+000
4.0738027780411625E+002, 4.0738027780411625E+002, 0.0000000000000000E+000, 3.1944108357166985E+000, 0.0000000000000000E+000
4.1209751909733382E+002, 4.1209751909733382E+002, 0.0000000000000000E+000, 3.2890658134776514E+000, 0.0000000000000000E+000
4.1686938347033907E+002, 4.1686938347033907E+002, 0.0000000000000000E+000, 3.3835422560209221E+000, 0.0000000000000000E+000
4.2169650342858597E+002, 4.2169650342858597E+002, 0.0000000000000000E+000, 3.4778379292065456E+000, 0.0000000000000000E+000
4.2657951880159646E+002, 4.2657951880159646E+002, 0.0000000000000000E+000, 3.5719505353136145E+000, 0.0000000000000000E+000
4.3151907682776908E+002, 4.3151907682776908E+002, 0.0000000000000000E+000, 3.6658777130225353E+000, 0.0000000000000000E+000
4.3651583224016991E+002, 4.3651583224016991E+002, 0.0000000000000000E+000, 3.7596170373874411E+000, 0.0000000000000000E+000
4.4157044735331652E+002, 4.4157044735331652E+002, 0.0000000000000000E+000, 3.8531660198659723E+000, 0.0000000000000000E+000
4.4668359215096723E+002, 4.4668359215096723E+002, 0.0000000000000000E+000, 3.9465221082901070E+000, 0.0000000000000000E+000
4.5185594437492654E+002, 4.5185594437492654E+002, 0.0000000000000000E+000, 4.0396826869328573E+000, 0.0000000000000000E+000
4.5708818961487930E+002, 4.5708818961487930E+002, 0.0000000000000000E+000, 4.1326450765917038E+000, 0.0000000000000000E+000
4.6238102139926463E+002, 4.6238102139926463E+002, 0.0000000000000000E+000, 4.2254065346148142E+000, 0.0000000000000000E+000
4.6773514128720262E+002, 4.6773514128720262E+002, 0.0000000000000000E+000, 4.3179642550003141E+000, 0.0000000000000000E+000
4.7315125896148498E+002, 4.7315125896148498E+002, 0.0000000000000000E+000, 4.4103153685705019E+000, 0.0000000000000000E+000
4.7863009232264295E+002, 4.7863009232264295E+002, 0.0000000000000000E+000, 4.5024569430660080E+000, 0.0000000000000000E+000
4.8417236758410405E+002, 4.8417236758410405E+002, 0.0000000000000000E+000, 4.5943859833649814E+000, 0.0000000000000000E+000
4.8977881936845097E+002, 4.8977881936845097E+002, 0.0000000000000000E+000, 4.6860994316362783E+000, 0.0000000000000000E+000
4.9545019080479506E+002, 4.9545019080479506E+002, 0.0000000000000000E+000, 4.7775941676298812E+000, 0.0000000000000000E+000
5.0118723362727724E+002, 5.0118723362727724E+002, 0.0000000000000000E+000, 4.8688670089102164E+000, 0.0000000000000000E+000
5.0699070827470939E+002, 5.0699070827470939E+002, 0.0000000000000000E+000, 4.9599147111550925E+000, 0.0000000000000000E+000
5.1286138399136996E+002, 5.1286138399136996E+002, 0.0000000000000000E+000, 5.0507339684694719E+000, 0.0000000000000000E+000
5.1880003892896627E+002, 5.1880003892896627E+002, 0.0000000000000000E+000, 5.1413214138229799E+000, 0.0000000000000000E+000
5.2480746024977782E+002, 5.2480746024977782E+002, 0.0000000000000000E+000, 5.2316736193727529E+000, 0.0000000000000000E+000
5.3088444423099372E+002, 5.3088444423099372E+002, 0.0000000000000000E+000, 5.3217870969761094E+000, 0.0000000000000000E+000
5.3703179637025823E+002, 5.3703179637025823E+002, 0.0000000000000000E+000, 5.4116582986366133E+000, 0.0000000000000000E+000
5.4325033149243882E+002, 5.4325033149243882E+002, 0.0000000000000000E+000, 5.5012836170584736E+000, 0.0000000000000000E+000
5.4954087385763023E+002, 5.4954087385763023E+002, 0.0000000000000000E+000, 5.5906593862126641E+000, 0.0000000000000000E+000
5.5590425727040940E+002, 5.5590425727040940E+002, 0.0000000000000000E+000, 5.6797818819694159E+000, 0.0000000000000000E+000
5.6234132519035495E+002, 5.6234132519035495E+002, 0.0000000000000000E+000, 5.7686473227575394E+000, 0.0000000000000000E+000
5.6885293084384739E+002, 5.6885293084384739E+002, 0.0000000000000000E+000, 5.8572518702899234E+000, 0.0000000000000000E+000
5.7543993733716297E+002, 5.7543993733716297E+002, 0.0000000000000000E+000, 5.9455916303222391E+000, 0.0000000000000000E+000
5.8210321777087756E+002, 5.8210321777087756E+002, 0.0000000000000000E+000, 6.0336626535247309E+000, 0.0000000000000000E+000
5.8884365535559527E+002, 5.8884365535559527E+002, 0.0000000000000000E+000, 6.1214609362909789E+000, 0.0000000000000000E+000
5.9566214352901693E+002, 5.9566214352901693E+002, 0.0000000000000000E+000, 6.2089824217073630E+000, 0.0000000000000000E+000
6.0255958607436435E+002, 6.0255958607436435E+002, 0.0000000000000000E+000, 6.2962230005916009E+000, 0.0000000000000000E+000
6.0953689724017590E+002, 6.0953689724017590E+002, 0.0000000000000000E+000, 6.3831785124639353E+000, 0.0000000000000000E+000
6.1659500186148898E+002, 6.1659500186148898E+002, 0.0000000000000000E+000, 6.4698447467156992E+000, 0.0000000000000000E+000
6.2373483548242621E+002, 6.2373483548242621E+002, 0.0000000000000000E+000, 6.5562174437821596E+000, 0.0000000000000000E+000
6.3095734448020028E+002, 6.3095734448020028E+002, 0.0000000000000000E+000, 6.6422922963391384E+000, 0.0000000000000000E+000
6.3826348619055580E+002, 6.3826348619055580E+002, 0.0000000000000000E+000, 6.7280649506637067E+000, 0.0000000000000000E+000
6.4565422903466276E+002, 6.4565422903466276E+002, 0.0000000000000000E+000, 6.8135310079898694E+000, 0.0000000000000000E+000
6.5313055264747970E+002, 6.5313055264747970E+002, 0.0000000000000000E+000, 6.8986860259203100E+000, 0.0000000000000000E+000
6.6069344800760348E+002, 6.6069344800760348E+002, 0.0000000000000000E+000, 6.9835255199773894E+000, 0.0000000000000000E+000
6.6834391756862226E+002, 6.6834391756862226E+002, 0.0000000000000000E+000, 7.0680449651349333E+000, 0.0000000000000000E+000
6.7608297539198952E+002, 6.7608297539198952E+002, 0.0000000000000000E+000, 7.1522397975096546E+000, 0.0000000000000000E+000
6.8391164728143724E+002, 6.8391164728143724E+002, 0.0000000000000000E+000, 7.2361054160670548E+000, 0.0000000000000000E+000
6.9183097091894456E+002, 6.9183097091894456E+002, 0.0000000000000000E+000, 7.3196371844126293E+000, 0.0000000000000000E+000
6.9984199600228169E+002, 6.9984199600228169E+002, 0.0000000000000000E+000, 7.4028304326624248E+000, 0.0000000000000000E+000
7.0794578438414624E+002, 7.0794578438414624E+002, 0.0000000000000000E+000, 7.4856804593621673E+000, 0.0000000000000000E+000
7.1614341021291045E+002, 7.1614341021291045E+002, 0.0000000000000000E+000, 7.5681825335400283E+000, 0.0000000000000000E+000
7.2443596007499866E+002, 7.2443596007499866E+002, 0.0000000000000000E+000, 7.6503318967908083E+000, 0.0000000000000000E+000
7.3282453313891278E+002, 7.3282453313891278E+002, 0.0000000000000000E+000, 7.7321237654005817E+000, 0.0000000000000000E+000
