
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
3.2508729738543821E+002, 3.2508729738543821E+002, 0.0000000000000000E+000,-1.8531143095881277E+000, 0.0000000000000000E+000
3.2809529311312292E+002, 3.2809529311312292E+002, 0.0000000000000000E+000,-1.8332902094460897E+000, 0.0000000000000000E+000
3.3113112148259506E+002, 3.3113112148259506E+002, 0.0000000000000000E+000,-1.8137395142166284E+000, 0.0000000000000000E+000
3.3419504002611831E+002, 3.3419504002611831E+002, 0.0000000000000000E+000,-1.7944596613290942E+000, 0.0000000000000000E+000
3.3728730865887297E+002, 3.3728730865887297E+002, 0.0000000000000000E+000,-1.7754480787690865E+000, 0.0000000000000000E+000
3.4040818970100503E+002, 3.4040818970100503E+002, 0.0000000000000000E+000,-1.7567021861211576E+000, 0.0000000000000000E+000
3.4355794789987885E+002, 3.4355794789987885E+002, 0.0000000000000000E+000,-1.7382193955987590E+000, 0.0000000000000000E+000
3.4673685045253592E+002, 3.4673685045253592E+002, 0.0000000000000000E+000,-1.7199971130540614E+000, 0.0000000000000000E+000
3.4994516702836165E+002, 3.4994516702836165E+002, 0.0000000000000000E+000,-1.7020327389756620E+000, 0.0000000000000000E+000
3.5318316979196140E+002, 3.5318316979196140E+002, 0.0000000000000000E+000,-1.6843236694683530E+000, 0.0000000000000000E+000
3.5645113342624876E+002, 3.5645113342624876E+002, 0.0000000000000000E+000,-1.6668672972155172E+000, 0.0000000000000000E+000
3.5974933515574691E+002, 3.5974933515574691E+002, 0.0000000000000000E+000,-1.6496610124230537E+000, 0.0000000000000000E+000
3.6307805477010601E+002, 3.6307805477010601E+002, 0.0000000000000000E+000,-1.6327022037482668E+000, 0.0000000000000000E+000
3.6643757464783801E+002, 3.6643757464783801E+002, 0.0000000000000000E+000,-1.6159882592088468E+000, 0.0000000000000000E+000
3.6982817978027100E+002, 3.6982817978027100E+002, 0.0000000000000000E+000,-1.5995165670713816E+000, 0.0000000000000000E+000
3.7325015779572544E+002, 3.7325015779572544E+002, 0.0000000000000000E+000,-1.5832845167237322E+000, 0.0000000000000000E+000
3.7670379898391383E+002, 3.7670379898391383E+002, 0.0000000000000000E+000,-1.5672894995284146E+000, 0.0000000000000000E+000
3.8018939632056623E+002, 3.8018939632056623E+002, 0.0000000000000000E+000,-1.5515289096532778E+000, 0.0000000000000000E+000
3.8370724549228390E+002, 3.8370724549228390E+002, 0.0000000000000000E+000,-1.5360001448856804E+000, 0.0000000000000000E+000
3.8725764492162244E+002, 3.8725764492162244E+002, 0.0000000000000000E+000,-1.5207006074256391E+000, 0.0000000000000000E+000
3.9084089579240737E+002, 3.9084089579240737E+002, 0.0000000000000000E+000,-1.5056277046583013E+000, 0.0000000000000000E+000
3.9445730207528385E+002, 3.9445730207528385E+002, 0.0000000000000000E+000,-1.4907788499083596E+000, 0.0000000000000000E+000
3.9810717055350278E+002, 3.9810717055350278E+002, 0.0000000000000000E+000,-1.4761514631717705E+000, 0.0000000000000000E+000
4.0179081084894557E+002, 4.0179081084894557E+002, 0.0000000000000000E+000,-1.4617429718282524E+000, 0.0000000000000000E+000
4.0550853544838958E+002, 4.0550853544838958E+002, 0.0000000000000000E+000,-1.4475508113342901E+000, 0.0000000000000000E+000
4.0926065973001670E+002, 4.0926065973001670E+002, 0.0000000000000000E+000,-1.4335724258943077E+000, 0.0000000000000000E+000
4.1304750199016729E+002, 4.1304750199016729E+002, 0.0000000000000000E+000,-1.4198052691128384E+000, 0.0000000000000000E+000
4.1686938347034140E+002, 4.1686938347034140E+002, 0.0000000000000000E+000,-1.4062468046242143E+000, 0.0000000000000000E+000
4.2072662838445018E+002, 4.2072662838445018E+002, 0.0000000000000000E+000,-1.3928945067048804E+000, 0.0000000000000000E+000
4.2461956394631909E+002, 4.2461956394631909E+002, 0.0000000000000000E+000,-1.3797458608637960E+000, 0.0000000000000000E+000
4.2854852039744583E+002, 4.2854852039744583E+002, 0.0000000000000000E+000,-1.3667983644110016E+000, 0.0000000000000000E+000
4.3251383103501507E+002, 4.3251383103501507E+002, 0.0000000000000000E+000,-1.3540495270107922E+000, 0.0000000000000000E+000
4.3651583224017241E+002, 4.3651583224017241E+002, 0.0000000000000000E+000,-1.3414968712111743E+000, 0.0000000000000000E+000
4.4055486350655985E+002, 4.4055486350655985E+002, 0.0000000000000000E+000,-1.3291379329529929E+000, 0.0000000000000000E+000
4.4463126746911536E+002, 4.4463126746911536E+002, 0.0000000000000000E+000,-1.3169702620640820E+000, 0.0000000000000000E+000
4.4874538993313894E+002, 4.4874538993313894E+002, 0.0000000000000000E+000,-1.3049914227291606E+000, 0.0000000000000000E+000
4.5289757990362762E+002, 4.5289757990362762E+002, 0.0000000000000000E+000,-1.2931989939421911E+000, 0.0000000000000000E+000
4.5708818961488203E+002, 4.5708818961488203E+002, 0.0000000000000000E+000,-1.2815905699421655E+000, 0.0000000000000000E+000
4.6131757456038650E+002, 4.6131757456038650E+002, 0.0000000000000000E+000,-1.2701637606247771E+000, 0.0000000000000000E+000
4.6558609352296617E+002, 4.6558609352296617E+002, 0.0000000000000000E+000,-1.2589161919417795E+000, 0.0000000000000000E+000
4.6989410860522275E+002, 4.6989410860522275E+002, 0.0000000000000000E+000,-1.2478455062772689E+000, 0.0000000000000000E+000
4.7424198526025208E+002, 4.7424198526025208E+002, 0.0000000000000000E+000,-1.2369493628073431E+000, 0.0000000000000000E+000
4.7863009232264591E+002, 4.7863009232264591E+002, 0.0000000000000000E+000,-1.2262254378441859E+000, 0.0000000000000000E+000
4.8305880203978035E+002, 4.8305880203978035E+002, 0.0000000000000000E+000,-1.2156714251590217E+000, 0.0000000000000000E+000
4.8752849010339412E+002, 4.8752849010339412E+002, 0.0000000000000000E+000,-1.2052850362905874E+000, 0.0000000000000000E+000
4.9203953568145886E+002, 4.9203953568145886E+002, 0.0000000000000000E+000,-1.1950640008350626E+000, 0.0000000000000000E+000
4.9659232145034412E+002, 4.9659232145034412E+002, 0.0000000000000000E+000,-1.1850060667216848E+000, 0.0000000000000000E+000
5.0118723362728042E+002, 5.0118723362728042E+002, 0.0000000000000000E+000,-1.1751090004689111E+000, 0.0000000000000000E+000
5.0582466200312228E+002, 5.0582466200312228E+002, 0.0000000000000000E+000,-1.1653705874264046E+000, 0.0000000000000000E+000
5.1050499997541465E+002, 5.1050499997541465E+002, 0.0000000000000000E+000,-1.1557886320027537E+000, 0.0000000000000000E+000
5.1522864458176502E+002, 5.1522864458176502E+002, 0.0000000000000000E+000,-1.1463609578746217E+000, 0.0000000000000000E+000
5.1999599653352470E+002, 5.1999599653352470E+002, 0.0000000000000000E+000,-1.1370854081829114E+000, 0.0000000000000000E+000
5.2480746024978146E+002, 5.2480746024978146E+002, 0.0000000000000000E+000,-1.1279598457151716E+000, 0.0000000000000000E+000
5.2966344389166682E+002, 5.2966344389166682E+002, 0.0000000000000000E+000,-1.1189821530710808E+000, 0.0000000000000000E+000
5.3456435939698076E+002, 5.3456435939698076E+002, 0.0000000000000000E+000,-1.1101502328158359E+000, 0.0000000000000000E+000
5.3951062251513690E+002, 5.3951062251513690E+002, 0.0000000000000000E+000,-1.1014620076193209E+000, 0.0000000000000000E+000
5.4450265284243062E+002, 5.4450265284243062E+002, 0.0000000000000000E+000,-1.0929154203828553E+000, 0.0000000000000000E+000
5.4954087385763410E+002, 5.4954087385763410E+002, 0.0000000000000000E+000,-1.0845084343504845E+000, 0.0000000000000000E+000
5.5462571295792043E+002, 5.5462571295792043E+002, 0.0000000000000000E+000,-1.0762390332107081E+000, 0.0000000000000000E+000
5.5975760149511996E+002, 5.5975760149511996E+002, 0.0000000000000000E+000,-1.0681052211834052E+000, 0.0000000000000000E+000
5.6493697481231243E+002, 5.6493697481231243E+002, 0.0000000000000000E+000,-1.0601050230967211E+000, 0.0000000000000000E+000
5.7016427228075759E+002, 5.7016427228075759E+002, 0.0000000000000000E+000,-1.0522364844513272E+000, 0.0000000000000000E+000
5.7543993733716718E+002, 5.7543993733716718E+002, 0.0000000000000000E+000,-1.0444976714738510E+000, 0.0000000000000000E+000
5.8076441752132246E+002, 5.8076441752132246E+002, 0.0000000000000000E+000,-1.0368866711572440E+000, 0.0000000000000000E+000
5.8613816451403932E+002, 5.8613816451403932E+002, 0.0000000000000000E+000,-1.0294015912949712E+000, 0.0000000000000000E+000
5.9156163417548464E+002, 5.9156163417548464E+002, 0.0000000000000000E+000,-1.0220405605006229E+000, 0.0000000000000000E+000
5.9703528658384766E+002, 5.9703528658384766E+002, 0.0000000000000000E+000,-1.0148017282195114E+000, 0.0000000000000000E+000
6.0255958607436867E+002, 6.0255958607436867E+002, 0.0000000000000000E+000,-1.0076832647314113E+000, 0.0000000000000000E+000
6.0813500127872896E+002, 6.0813500127872896E+002, 0.0000000000000000E+000,-1.0006833611408810E+000, 0.0000000000000000E+000
6.1376200516480549E+002, 6.1376200516480549E+002, 0.0000000000000000E+000,-9.9380022936190548E-001, 0.0000000000000000E+000
6.1944107507679291E+002, 6.1944107507679291E+002, 0.0000000000000000E+000,-9.8703210209292613E-001, 0.0000000000000000E+000
6.2517269277569744E+002, 6.2517269277569744E+002, 0.0000000000000000E+000,-9.8037723278185596E-001, 0.0000000000000000E+000
6.3095734448020505E+002, 6.3095734448020505E+002, 0.0000000000000000E+000,-9.7383389558528888E-001, 0.0000000000000000E+000
6.3679552090792777E+002, 6.3679552090792777E+002, 0.0000000000000000E+000,-9.6740038531944339E-001, 0.0000000000000000E+000
