
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
2.3988329190195114E+002, 2.3988329190195114E+002, 0.0000000000000000E+000, 2.7467255915804643E+001, 0.0000000000000000E+000
2.4210290467361995E+002, 2.4210290467361995E+002, 0.0000000000000000E+000, 2.7467255906152246E+001, 0.0000000000000000E+000
2.4434305526939937E+002, 2.4434305526939937E+002, 0.0000000000000000E+000, 2.7467255896320488E+001, 0.0000000000000000E+000
2.4660393372343614E+002, 2.4660393372343614E+002, 0.0000000000000000E+000, 2.7467255886305999E+001, 0.0000000000000000E+000
2.4888573182824135E+002, 2.4888573182824135E+002, 0.0000000000000000E+000, 2.7467255876105291E+001, 0.0000000000000000E+000
2.5118864315096030E+002, 2.5118864315096030E+002, 0.0000000000000000E+000, 2.7467255865714769E+001, 0.0000000000000000E+000
2.5351286304979308E+002, 2.5351286304979308E+002, 0.0000000000000000E+000, 2.7467255855131238E+001, 0.0000000000000000E+000
2.5585858869056693E+002, 2.5585858869056693E+002, 0.0000000000000000E+000, 2.7467255844350991E+001, 0.0000000000000000E+000
2.5822601906346205E+002, 2.5822601906346205E+002, 0.0000000000000000E+000, 2.7467255833370096E+001, 0.0000000000000000E+000
2.6061535499989202E+002, 2.6061535499989202E+002, 0.0000000000000000E+000, 2.7467255822185614E+001, 0.0000000000000000E+000
2.6302679918954072E+002, 2.6302679918954072E+002, 0.0000000000000000E+000, 2.7467255810792505E+001, 0.0000000000000000E+000
2.6546055619755651E+002, 2.6546055619755651E+002, 0.0000000000000000E+000, 2.7467255799187555E+001, 0.0000000000000000E+000
2.6791683248190583E+002, 2.6791683248190583E+002, 0.0000000000000000E+000, 2.7467255787367478E+001, 0.0000000000000000E+000
2.7039583641088706E+002, 2.7039583641088706E+002, 0.0000000000000000E+000, 2.7467255775326930E+001, 0.0000000000000000E+000
2.7289777828080679E+002, 2.7289777828080679E+002, 0.0000000000000000E+000, 2.7467255763062866E+001, 0.0000000000000000E+000
2.7542287033381939E+002, 2.7542287033381939E+002, 0.0000000000000000E+000, 2.7467255750571191E+001, 0.0000000000000000E+000
2.7797132677593169E+002, 2.7797132677593169E+002, 0.0000000000000000E+000, 2.7467255737846735E+001, 0.0000000000000000E+000
2.8054336379517423E+002, 2.8054336379517423E+002, 0.0000000000000000E+000, 2.7467255724885611E+001, 0.0000000000000000E+000
2.8313919957994085E+002, 2.8313919957994085E+002, 0.0000000000000000E+000, 2.7467255711683869E+001, 0.0000000000000000E+000
2.8575905433749767E+002, 2.8575905433749767E+002, 0.0000000000000000E+000, 2.7467255698236919E+001, 0.0000000000000000E+000
2.8840315031266363E+002, 2.8840315031266363E+002, 0.0000000000000000E+000, 2.7467255684539595E+001, 0.0000000000000000E+000
2.9107171180666364E+002, 2.9107171180666364E+002, 0.0000000000000000E+000, 2.7467255670587122E+001, 0.0000000000000000E+000
2.9376496519615625E+002, 2.9376496519615625E+002, 0.0000000000000000E+000, 2.7467255656376430E+001, 0.0000000000000000E+000
2.9648313895243746E+002, 2.9648313895243746E+002, 0.0000000000000000E+000, 2.7467255641901048E+001, 0.0000000000000000E+000
2.9922646366082216E+002, 2.9922646366082216E+002, 0.0000000000000000E+000, 2.7467255627156216E+001, 0.0000000000000000E+000
3.0199517204020492E+002, 3.0199517204020492E+002, 0.0000000000000000E+000, 2.7467255612138093E+001, 0.0000000000000000E+000
3.0478949896280170E+002, 3.0478949896280170E+002, 0.0000000000000000E+000, 2.7467255596839763E+001, 0.0000000000000000E+000
3.0760968147407425E+002, 3.0760968147407425E+002, 0.0000000000000000E+000, 2.7467255581257053E+001, 0.0000000000000000E+000
3.1045595881283907E+002, 3.1045595881283907E+002, 0.0000000000000000E+000, 2.7467255565385162E+001, 0.0000000000000000E+000
3.1332857243156212E+002, 3.1332857243156212E+002, 0.0000000000000000E+000, 2.7467255549218258E+001, 0.0000000000000000E+000
3.1622776601684154E+002, 3.1622776601684154E+002, 0.0000000000000000E+000, 2.7467255532750755E+001, 0.0000000000000000E+000
3.1915378551007984E+002, 3.1915378551007984E+002, 0.0000000000000000E+000, 2.7467255515976035E+001, 0.0000000000000000E+000
3.2210687912834720E+002, 3.2210687912834720E+002, 0.0000000000000000E+000, 2.7467255498891063E+001, 0.0000000000000000E+000
3.2508729738543821E+002, 3.2508729738543821E+002, 0.0000000000000000E+000, 2.7467255481487520E+001, 0.0000000000000000E+000
3.2809529311312292E+002, 3.2809529311312292E+002, 0.0000000000000000E+000, 2.7467255463760146E+001, 0.0000000000000000E+000
3.3113112148259506E+002, 3.3113112148259506E+002, 0.0000000000000000E+000, 2.7467255445703607E+001, 0.0000000000000000E+000
3.3419504002611831E+002, 3.3419504002611831E+002, 0.0000000000000000E+000, 2.7467255427311450E+001, 0.0000000000000000E+000
3.3728730865887297E+002, 3.3728730865887297E+002, 0.0000000000000000E+000, 2.7467255408577973E+001, 0.0000000000000000E+000
3.4040818970100503E+002, 3.4040818970100503E+002, 0.0000000000000000E+000, 2.7467255389495865E+001, 0.0000000000000000E+000
3.4355794789987885E+002, 3.4355794789987885E+002, 0.0000000000000000E+000, 2.7467255370058670E+001, 0.0000000000000000E+000
3.4673685045253592E+002, 3.4673685045253592E+002, 0.0000000000000000E+000, 2.7467255350259695E+001, 0.0000000000000000E+000
3.4994516702836165E+002, 3.4994516702836165E+002, 0.0000000000000000E+000, 2.7467255330093018E+001, 0.0000000000000000E+000
3.5318316979196140E+002, 3.5318316979196140E+002, 0.0000000000000000E+000, 2.7467255309551636E+001, 0.0000000000000000E+000
3.5645113342624876E+002, 3.5645113342624876E+002, 0.0000000000000000E+000, 2.7467255288627832E+001, 0.0000000000000000E+000
