
Label=dB(v(Vout)/v(Vin)) vs F
LabelX=F
LabelY=dB(v(Vout)/v(Vin))
Data Point Count=1001
F,F,F,dB(v(Vout)/v(Vin)),dB(v(Vout)/v(Vin))
2.0796966871036989E+003, 2.0796966871036989E+003, 0.0000000000000000E+000, 5.4120600416439100E+000, 0.0000000000000000E+000
2.0941124558508959E+003, 2.0941124558508959E+003, 0.0000000000000000E+000, 5.5346363361912232E+000, 0.0000000000000000E+000
2.1086281499332927E+003, 2.1086281499332927E+003, 0.0000000000000000E+000, 5.6572488536393104E+000, 0.0000000000000000E+000
2.1232444620002229E+003, 2.1232444620002229E+003, 0.0000000000000000E+000, 5.7798981087452361E+000, 0.0000000000000000E+000
2.1379620895022358E+003, 2.1379620895022358E+003, 0.0000000000000000E+000, 5.9025846237357662E+000, 0.0000000000000000E+000
2.1527817347243767E+003, 2.1527817347243767E+003, 0.0000000000000000E+000, 6.0253089284202002E+000, 0.0000000000000000E+000
2.1677041048196988E+003, 2.1677041048196988E+003, 0.0000000000000000E+000, 6.1480715603049365E+000, 0.0000000000000000E+000
2.1827299118430055E+003, 2.1827299118430055E+003, 0.0000000000000000E+000, 6.2708730647099316E+000, 0.0000000000000000E+000
2.1978598727848289E+003, 2.1978598727848289E+003, 0.0000000000000000E+000, 6.3937139948870545E+000, 0.0000000000000000E+000
2.2130947096056416E+003, 2.2130947096056416E+003, 0.0000000000000000E+000, 6.5165949121403779E+000, 0.0000000000000000E+000
2.2284351492703076E+003, 2.2284351492703076E+003, 0.0000000000000000E+000, 6.6395163859484141E+000, 0.0000000000000000E+000
2.2438819237827702E+003, 2.2438819237827702E+003, 0.0000000000000000E+000, 6.7624789940883270E+000, 0.0000000000000000E+000
2.2594357702209818E+003, 2.2594357702209818E+003, 0.0000000000000000E+000, 6.8854833227622505E+000, 0.0000000000000000E+000
2.2750974307720749E+003, 2.2750974307720749E+003, 0.0000000000000000E+000, 7.0085299667256118E+000, 0.0000000000000000E+000
2.2908676527677776E+003, 2.2908676527677776E+003, 0.0000000000000000E+000, 7.1316195294175628E+000, 0.0000000000000000E+000
2.3067471887200736E+003, 2.3067471887200736E+003, 0.0000000000000000E+000, 7.2547526230936379E+000, 0.0000000000000000E+000
2.3227367963571114E+003, 2.3227367963571114E+003, 0.0000000000000000E+000, 7.3779298689604929E+000, 0.0000000000000000E+000
2.3388372386593596E+003, 2.3388372386593596E+003, 0.0000000000000000E+000, 7.5011518973130000E+000, 0.0000000000000000E+000
2.3550492838960145E+003, 2.3550492838960145E+003, 0.0000000000000000E+000, 7.6244193476734567E+000, 0.0000000000000000E+000
2.3713737056616601E+003, 2.3713737056616601E+003, 0.0000000000000000E+000, 7.7477328689332756E+000, 0.0000000000000000E+000
2.3878112829131824E+003, 2.3878112829131824E+003, 0.0000000000000000E+000, 7.8710931194968907E+000, 0.0000000000000000E+000
2.4043628000069384E+003, 2.4043628000069384E+003, 0.0000000000000000E+000, 7.9945007674281809E+000, 0.0000000000000000E+000
2.4210290467361833E+003, 2.4210290467361833E+003, 0.0000000000000000E+000, 8.1179564905992176E+000, 0.0000000000000000E+000
2.4378108183687577E+003, 2.4378108183687577E+003, 0.0000000000000000E+000, 8.2414609768416494E+000, 0.0000000000000000E+000
2.4547089156850357E+003, 2.4547089156850357E+003, 0.0000000000000000E+000, 8.3650149241005192E+000, 0.0000000000000000E+000
2.4717241450161355E+003, 2.4717241450161355E+003, 0.0000000000000000E+000, 8.4886190405906881E+000, 0.0000000000000000E+000
2.4888573182823961E+003, 2.4888573182823961E+003, 0.0000000000000000E+000, 8.6122740449559299E+000, 0.0000000000000000E+000
2.5061092530321193E+003, 2.5061092530321193E+003, 0.0000000000000000E+000, 8.7359806664307129E+000, 0.0000000000000000E+000
2.5234807724805805E+003, 2.5234807724805805E+003, 0.0000000000000000E+000, 8.8597396450046642E+000, 0.0000000000000000E+000
2.5409727055493108E+003, 2.5409727055493108E+003, 0.0000000000000000E+000, 8.9835517315899320E+000, 0.0000000000000000E+000
2.5585858869056515E+003, 2.5585858869056515E+003, 0.0000000000000000E+000, 9.1074176881912852E+000, 0.0000000000000000E+000
2.5763211570025810E+003, 2.5763211570025810E+003, 0.0000000000000000E+000, 9.2313382880791846E+000, 0.0000000000000000E+000
2.5941793621188199E+003, 2.5941793621188199E+003, 0.0000000000000000E+000, 9.3553143159658241E+000, 0.0000000000000000E+000
2.6121613543992121E+003, 2.6121613543992121E+003, 0.0000000000000000E+000, 9.4793465681840967E+000, 0.0000000000000000E+000
2.6302679918953877E+003, 2.6302679918953877E+003, 0.0000000000000000E+000, 9.6034358528697812E+000, 0.0000000000000000E+000
2.6485001386067065E+003, 2.6485001386067065E+003, 0.0000000000000000E+000, 9.7275829901467130E+000, 0.0000000000000000E+000
2.6668586645214855E+003, 2.6668586645214855E+003, 0.0000000000000000E+000, 9.8517888123152950E+000, 0.0000000000000000E+000
2.6853444456585130E+003, 2.6853444456585130E+003, 0.0000000000000000E+000, 9.9760541640441431E+000, 0.0000000000000000E+000
2.7039583641088493E+003, 2.7039583641088493E+003, 0.0000000000000000E+000, 1.0100379902565169E+001, 0.0000000000000000E+000
2.7227013080779179E+003, 2.7227013080779179E+003, 0.0000000000000000E+000, 1.0224766897871982E+001, 0.0000000000000000E+000
2.7415741719278881E+003, 2.7415741719278881E+003, 0.0000000000000000E+000, 1.0349216032921811E+001, 0.0000000000000000E+000
2.7605778562203514E+003, 2.7605778562203514E+003, 0.0000000000000000E+000, 1.0473728203840849E+001, 0.0000000000000000E+000
2.7797132677592945E+003, 2.7797132677592945E+003, 0.0000000000000000E+000, 1.0598304320133378E+001, 0.0000000000000000E+000
2.7989813196343684E+003, 2.7989813196343684E+003, 0.0000000000000000E+000, 1.0722945304894418E+001, 0.0000000000000000E+000
2.8183829312644598E+003, 2.8183829312644598E+003, 0.0000000000000000E+000, 1.0847652095026145E+001, 0.0000000000000000E+000
2.8379190284415622E+003, 2.8379190284415622E+003, 0.0000000000000000E+000, 1.0972425641458239E+001, 0.0000000000000000E+000
2.8575905433749531E+003, 2.8575905433749531E+003, 0.0000000000000000E+000, 1.1097266909371999E+001, 0.0000000000000000E+000
2.8773984147356755E+003, 2.8773984147356755E+003, 0.0000000000000000E+000, 1.1222176878428531E+001, 0.0000000000000000E+000
2.8973435877013294E+003, 2.8973435877013294E+003, 0.0000000000000000E+000, 1.1347156543000986E+001, 0.0000000000000000E+000
2.9174270140011731E+003, 2.9174270140011731E+003, 0.0000000000000000E+000, 1.1472206912410950E+001, 0.0000000000000000E+000
