
Label=v(Vout6) vs T
LabelX=T
LabelY=v(Vout6)
Data Point Count=1035
T,v(Vout6)
 5.4355016946391270E-004, 4.5577274835595718E+000
 5.4405252642743035E-004, 4.5669342057852260E+000
 5.4417811566830976E-004, 4.5692761804147084E+000
 5.4442929415006859E-004, 4.5741151766754422E+000
 5.4449208877050835E-004, 4.5754328185985438E+000
 5.4461767801138776E-004, 4.5784742364790167E+000
 5.4464907532160759E-004, 4.5794829004002731E+000
 5.4471186994204735E-004, 4.5825352143386544E+000
 5.4472756859715726E-004, 4.5840704055217847E+000
 5.4475896590737709E-004, 4.5921724354026132E+000
 5.4476421509030808E-004, 4.5953542690363109E+000
 5.4477471345617005E-004, 4.6059047165966609E+000
 5.4478946944045521E-004, 4.4636623383941298E+000
 5.4480116827264151E-004, 3.7325206985875932E+000
 5.4480792045915217E-004, 2.9225323861204728E+000
 5.4481146273486374E-004, 2.4573789047802439E+000
 5.4481447847839700E-004, 2.0949698371886520E+000
 5.4481793837191897E-004, 1.7461862742265881E+000
 5.4482178713247391E-004, 1.4490642167210745E+000
 5.4482545512726452E-004, 1.2456353240882319E+000
 5.4483045914384865E-004, 1.0623636246572585E+000
 5.4483642722756890E-004, 9.3883374258386842E-001
 5.4484611346924299E-004, 8.5020783871804495E-001
 5.4486142691123867E-004, 8.1577727344090478E-001
 5.4487911373929702E-004, 8.1340200936694285E-001
 5.4490704472414699E-004, 8.1280343814165679E-001
 5.4495623944838568E-004, 8.1073558064872653E-001
 5.4505462889686297E-004, 8.0678878176440794E-001
 5.4525140779381766E-004, 7.9890686160161295E-001
 5.4564496558772693E-004, 7.8349404392303401E-001
 5.4643208117554558E-004, 7.5381742784998895E-001
 5.4800631235118287E-004, 6.9881709080070931E-001
 5.5115477470245734E-004, 6.0350576999021055E-001
 5.5745169940500639E-004, 4.5669671989173066E-001
 5.7004554881010449E-004, 2.6792642015577739E-001
 5.7007472621359366E-004, 2.6756102029460543E-001
 5.7013308102057199E-004, 2.6670876480352645E-001
 5.7014766972231657E-004, 2.6644299306837371E-001
 5.7017684712580574E-004, 2.6584844670074848E-001
 5.7023520193278407E-004, 2.6333340815714212E-001
 5.7024792122023829E-004, 2.6203044759721261E-001
 5.7027335979514663E-004, 2.5575609429777607E-001
 5.7027748421211355E-004, 2.5358466133598334E-001
 5.7028573304604739E-004, 2.4726456948060016E-001
 5.7029669456919868E-004, 2.4929721198393209E-001
 5.7030741255543300E-004, 4.5685758482406097E-001
 5.7031592302838198E-004, 1.0404741152925265E+000
 5.7032466210807332E-004, 1.9634659220715140E+000
 5.7033277180313030E-004, 2.7321305161100984E+000
 5.7034086023866732E-004, 3.2330743746832571E+000
 5.7034934409961322E-004, 3.5266362921685497E+000
 5.7036387964709144E-004, 3.7468723102945192E+000
 5.7039282016018865E-004, 3.8366895125830922E+000
 5.7042474138187195E-004, 3.8319279843415290E+000
 5.7048307880075400E-004, 3.8360311696216973E+000
 5.7057301147679358E-004, 3.8404167106343121E+000
 5.7075287682887275E-004, 3.8502362363685529E+000
 5.7111260753303118E-004, 3.8688139633792433E+000
 5.7183206894134806E-004, 3.9054147564523980E+000
 5.7327099175798180E-004, 3.9736651443806821E+000
 5.7614883739124918E-004, 4.0953701206278881E+000
 5.8190452865778395E-004, 4.2903251762328889E+000
 5.9341591119085359E-004, 4.5551216490793935E+000
 5.9364254243256677E-004, 4.5591438265031217E+000
 5.9409580491599301E-004, 4.5674491524166232E+000
 5.9420912053684955E-004, 4.5695721574424502E+000
 5.9443575177856272E-004, 4.5739375043791588E+000
 5.9449240958899105E-004, 4.5751106500987735E+000
 5.9460572520984758E-004, 4.5777076767162601E+000
 5.9463405411506174E-004, 4.5784880763166695E+000
 5.9469071192549006E-004, 4.5803437887897500E+000
 5.9470487637809709E-004, 4.5809599723105459E+000
 5.9473320528331125E-004, 4.5824699839320173E+000
 5.9474028750961482E-004, 4.5829802726912128E+000
 5.9475445196222184E-004, 4.5841847876547055E+000
 5.9478278086743600E-004, 4.5898526579929788E+000
 5.9478779098733872E-004, 4.5918731780493500E+000
 5.9479781122714415E-004, 4.5978047537740805E+000
 5.9481268203778412E-004, 4.5783186058921421E+000
 5.9482670335587193E-004, 4.0487523551538827E+000
 5.9483504280258260E-004, 3.2118320159571110E+000
 5.9484179652772749E-004, 2.3571427813571573E+000
 5.9484406517977030E-004, 2.0884220292324289E+000
 5.9484701627886727E-004, 1.7866740851772995E+000
 5.9485012909235352E-004, 1.5304665288196568E+000
 5.9485356666545469E-004, 1.3158788923664277E+000
 5.9485739275465948E-004, 1.1461988857227294E+000
 5.9486091719782204E-004, 1.0390231177360418E+000
 5.9486481717737748E-004, 9.5893674575359455E-001
 5.9486993703265344E-004, 8.9408334849485849E-001
 5.9487674324349555E-004, 8.4926396758760803E-001
 5.9488608697587711E-004, 8.2447610415108130E-001
 5.9489977102366643E-004, 8.1502393483563007E-001
 5.9492448819300180E-004, 8.1317733563053607E-001
 5.9496821463312895E-004, 8.1185340375739057E-001
 5.9505566751338315E-004, 8.0807705432737853E-001
 5.9523057327389155E-004, 8.0123737479725854E-001
 5.9558038479490846E-004, 7.8730640515593420E-001
 5.9628000783694217E-004, 7.6082344042119776E-001
 5.9767925392100970E-004, 7.1094366097339246E-001
 6.0047774608914465E-004, 6.2357294156436782E-001
 6.0607473042541455E-004, 4.8545097149266203E-001
 6.1395587898938563E-004, 3.4786724407166147E-001
 6.1467388217807813E-004, 3.3780243029205276E-001
 6.1610988855546314E-004, 3.1841287912154870E-001
 6.1898190131023316E-004, 2.8257717332230459E-001
 6.1950110111095961E-004, 2.7635698388262298E-001
 6.1963090106114120E-004, 2.7477590052896789E-001
 6.1989050096150449E-004, 2.7153583414223093E-001
 6.1995540093659528E-004, 2.7069377367298969E-001
 6.2008520088677687E-004, 2.6896457268596374E-001
 6.2011765087432232E-004, 2.6851215389579319E-001
 6.2018255084941311E-004, 2.6756589071607212E-001
 6.2019877584318578E-004, 2.6731034566950596E-001
 6.2023122583073124E-004, 2.6677551253002735E-001
 6.2029612580582203E-004, 2.6544208547956571E-001
 6.2031235079959470E-004, 2.6499316312184040E-001
 6.2034480078714015E-004, 2.6385624708024302E-001
 6.2035291328402654E-004, 2.6345263988563106E-001
 6.2036913827779921E-004, 2.6245905433000594E-001
 6.2040158826534467E-004, 2.5491533036146818E-001
 6.2040561458528184E-004, 2.5281204795063777E-001
 6.2041366722515620E-004, 2.4674071995577049E-001
 6.2042485190864590E-004, 2.4859361899283622E-001
 6.2043670507323247E-004, 5.1221465731078908E-001
 6.2044783895823913E-004, 1.3712610039106268E+000
 6.2045652826765436E-004, 2.2924781311526372E+000
 6.2046440027716692E-004, 2.9451042141515829E+000
 6.2047282520467126E-004, 3.3687338322659439E+000
 6.2048267456697183E-004, 3.6229874373122479E+000
 6.2050151448231534E-004, 3.7981488749240429E+000
 6.2053021056292050E-004, 3.8317908342770228E+000
 6.2057008675403752E-004, 3.8314000528648973E+000
 6.2063291223025214E-004, 3.8354726540949744E+000
 6.2075856318268138E-004, 3.8418414955393172E+000
 6.2100986508753986E-004, 3.8553939289253156E+000
 6.2151246889725681E-004, 3.8811662765191635E+000
 6.2251767651669071E-004, 3.9311185997730909E+000
 6.2452809175555851E-004, 4.0222796809835311E+000
 6.2854892223329411E-004, 4.1780567479374637E+000
 6.3466239326119068E-004, 4.3619666206845213E+000
 6.4120087025910390E-004, 4.5093302857024371E+000
 6.4201118157811100E-004, 4.5246121510292596E+000
 6.4363180421612531E-004, 4.5546645032054682E+000
 6.4403695987562892E-004, 4.5620077633964211E+000
 6.4413824879050484E-004, 4.5638563720677068E+000
 6.4434082662025659E-004, 4.5675885807892449E+000
 6.4474598227976020E-004, 4.5755195291285009E+000
 6.4484727119463613E-004, 4.5781116596999256E+000
 6.4487259342335505E-004, 4.5788408480323124E+000
 6.4492323788079302E-004, 4.5806243790367764E+000
 6.4493589899515254E-004, 4.5812354517732130E+000
 6.4496122122387146E-004, 4.5827479474857098E+000
 6.4496755178105117E-004, 4.5832642502828307E+000
 6.4498021289541069E-004, 4.5844841951548210E+000
 6.4500553512412961E-004, 4.5899020411422411E+000
 6.4503200384670412E-004, 4.4236791283064631E+000
 6.4505683157387516E-004, 2.6705764797724383E+000
 6.4506590441722720E-004, 1.6874494780927631E+000
 6.4506807152180405E-004, 1.5172916584257694E+000
 6.4507017080635330E-004, 1.3802715665273402E+000
 6.4507274511621223E-004, 1.2448739356327887E+000
 6.4507789373593018E-004, 1.0569931023646695E+000
 6.4508819097536599E-004, 8.7945928024210762E-001
 6.4510180023983721E-004, 8.2121326845438913E-001
 6.4511676612560192E-004, 8.1371557042300857E-001
 6.4513767314761279E-004, 8.1299352789199375E-001
 6.4517450648567782E-004, 8.1173996639509272E-001
 6.4524817316180788E-004, 8.0865776230893371E-001
 6.4539550651406788E-004, 8.0280563738968103E-001
 6.4569017321858789E-004, 7.9108855136544021E-001
 6.4627950662762791E-004, 7.6849021996296962E-001
 6.4745817344570794E-004, 7.2568490500105709E-001
 6.4973172977462817E-004, 6.5167939035497269E-001
 6.5260032939138779E-004, 5.7144363564371314E-001
 6.5551962381070787E-004, 5.0210539574292079E-001
 6.5821932443327553E-004, 4.4683017374406586E-001
 6.6091590290031613E-004, 3.9873703403962241E-001
 6.6354142673409470E-004, 3.5744548479632249E-001
 6.6652483432708359E-004, 3.1610805444370815E-001
 6.6924374593220742E-004, 2.8226627654028513E-001
 6.6956654958159347E-004, 2.7840791485196659E-001
 6.7021215688036569E-004, 2.7037320929732889E-001
 6.7037355870505871E-004, 2.6813251000879140E-001
 6.7041390916123200E-004, 2.6753054950728622E-001
 6.7049461007357856E-004, 2.6613493329828558E-001
 6.7051478530166515E-004, 2.6568525660794662E-001
 6.7055513575783844E-004, 2.6457811934063225E-001
 6.7056522337188178E-004, 2.6419716957010331E-001
 6.7058539859996837E-004, 2.6326775381172984E-001
 6.7059044240699005E-004, 2.6295833684214143E-001
 6.7060053002103339E-004, 2.6224561227131410E-001
 6.7062070524911998E-004, 2.5971137889205087E-001
 6.7062574905614165E-004, 2.5859631163310798E-001
 6.7063583667018500E-004, 2.5554721183327567E-001
 6.7065230609438485E-004, 2.4238289708763405E-001
 6.7066826116141001E-004, 4.6616142379260378E-001
 6.7068029250772084E-004, 1.2816320965288988E+000
 6.7068837365267880E-004, 2.1391182793194052E+000
 6.7069743656415174E-004, 2.9197590483123088E+000
 6.7070679995926579E-004, 3.3905068066102033E+000
 6.7071601715603486E-004, 3.6216095720392261E+000
 6.7073320210266410E-004, 3.7887402341891785E+000
 6.7076243504564001E-004, 3.8327351558538103E+000
 6.7080136926965257E-004, 3.8311453546764058E+000
 6.7086434411991222E-004, 3.8354854948613766E+000
 6.7099029382043152E-004, 3.8417428223135426E+000
 6.7124219322147003E-004, 3.8554194484466864E+000
 6.7174599202354704E-004, 3.8811749381295928E+000
