
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=248
T,v(Vout)
 3.1790904856319343E-006, 1.9615088585852454E+000
 3.2165247355515617E-006, 1.9614806637052227E+000
 3.2899720118677252E-006, 1.9614982907640344E+000
 3.3899720118677251E-006, 1.9614846666897920E+000
 3.4899720118677250E-006, 1.9614956708863083E+000
 3.5899720118677248E-006, 1.9614867832843883E+000
 3.6009999999999999E-006, 1.9614908254010626E+000
 3.6011000000000001E-006, 1.9657148988971278E+000
 3.6013000000000001E-006, 1.9829356979184432E+000
 3.6017000000000002E-006, 2.0607489013286520E+000
 3.6020000000000000E-006, 2.1384072261950333E+000
 3.6020531999999998E-006, 2.1521199125597548E+000
 3.6021595999999996E-006, 2.1794227366292152E+000
 3.6023723999999994E-006, 2.2332808015648404E+000
 3.6027979999999991E-006, 2.3380648970247231E+000
 3.6036491999999982E-006, 2.5363644200992033E+000
 3.6053515999999962E-006, 2.8914201545491913E+000
 3.6087563999999923E-006, 3.4608978943100559E+000
 3.6155659999999848E-006, 4.1967315154726297E+000
 3.6240962076533407E-006, 4.6516815445103195E+000
 3.6327750966642886E-006, 4.8516655677378466E+000
 3.6421623364330513E-006, 4.9417368748181589E+000
 3.6562231451017530E-006, 4.9877884170440776E+000
 3.6718037202382489E-006, 4.9980476221102270E+000
 3.7002347631928387E-006, 5.0002704575684760E+000
 3.7543620665114260E-006, 4.9998833424130664E+000
 3.8543620665114259E-006, 5.0000752913287272E+000
 3.9543620665114258E-006, 4.9999513365717281E+000
 4.0543620665114257E-006, 5.0000313928158526E+000
 4.0999999999999997E-006, 4.9999886979152324E+000
 4.1000999999999999E-006, 4.9999889537204858E+000
 4.1003000000000004E-006, 4.9992650641433780E+000
 4.1004756986055757E-006, 4.9943427236917328E+000
 4.1006942386727407E-006, 4.9725090973303727E+000
 4.1010000000000002E-006, 4.8904726126369917E+000
 4.1010437080134330E-006, 4.8736910180974808E+000
 4.1011311240402987E-006, 4.8402742929034890E+000
 4.1013059560940308E-006, 4.7743016120713255E+000
